v8-version,3,32,7,0,0
code-creation,Stub,2,0x440a000,277,"CEntryStub"
code-creation,Stub,2,0x440a120,97,"StoreBufferOverflowStub"
code-creation,Stub,2,0x440a1a0,197,"StoreBufferOverflowStub"
code-creation,Stub,2,0x440a280,357,"CEntryStub"
code-creation,Stub,2,0x440a400,79,"StubFailureTrampolineStub"
code-creation,Stub,2,0x440a460,80,"StubFailureTrampolineStub"
code-creation,Stub,2,0x440a4c0,273,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x440a5e0,249,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x440a6e0,285,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x440a800,261,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x440a920,293,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x440aa60,293,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x440aba0,261,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x440acc0,261,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x440ade0,418,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x440afa0,394,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x440b140,430,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x440b300,406,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x440b4a0,446,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x440b660,446,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x440b820,406,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x440b9c0,406,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x440bb60,398,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x440bd00,374,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x440be80,410,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x440c020,386,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x440c1c0,422,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x440c380,422,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x440c540,346,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x440c6a0,346,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x440c800,1800,"RecordWriteStub"
code-creation,Stub,2,0x440cf20,1789,"RecordWriteStub"
code-creation,Stub,2,0x440d620,349,"CreateAllocationSiteStub"
code-creation,Stub,11,0x440d780,94,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x440d7e0,94,"BinaryOpICStub(BIT_OR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x440d840,94,"BinaryOpICStub(BIT_OR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x440d8a0,94,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x440d900,94,"BinaryOpICStub(BIT_XOR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x440d960,94,"BinaryOpICStub(BIT_XOR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x440d9c0,94,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x440da20,94,"BinaryOpICStub(BIT_AND_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x440da80,94,"BinaryOpICStub(BIT_AND_ReuseRight:None*None->None)"
code-creation,Stub,11,0x440dae0,94,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x440db40,94,"BinaryOpICStub(SHL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x440dba0,94,"BinaryOpICStub(SHL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x440dc00,94,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x440dc60,94,"BinaryOpICStub(SAR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x440dcc0,94,"BinaryOpICStub(SAR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x440dd20,94,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x440dd80,94,"BinaryOpICStub(SHR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x440dde0,94,"BinaryOpICStub(SHR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x440de40,94,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x440dea0,94,"BinaryOpICStub(ROR_ReuseLeft:None*None->None)"
